doc_id,check_code,expected_status,expected_message
BASE_0001,BASE,OK,Базовый корректный документ.
BASE_0002,BASE,OK,Базовый корректный документ.
BASE_0003,BASE,OK,Базовый корректный документ.
MUT_0001_BIN002,BIN002,ERROR,БИН покупателя отсутствует.
MUT_0001_BIN006,BIN006,ERROR,БИН поставщика содержит недопустимые символы.
MUT_0001_BIN004,BIN004,ERROR,БИН покупателя содержит недопустимые символы.
MUT_0001_ID001,ID001,ERROR,БИН поставщика имеет неверный формат.
MUT_0001_TOT002,TOT002,ERROR,Итог меньше рассчитанного.
MUT_0002_TOT003,TOT003,WARNING,Сумма равна нулю.
MUT_0002_TOT002,TOT002,ERROR,Итог меньше рассчитанного.
MUT_0002_BIN005,BIN005,ERROR,БИН покупателя имеет неверную длину.
MUT_0002_BIN001,BIN001,ERROR,БИН поставщика отсутствует.
MUT_0002_D001,D001,ERROR,Дата ЭСФ не может быть в будущем.
MUT_0003_BIN001,BIN001,ERROR,БИН поставщика отсутствует.
MUT_0003_TOT002,TOT002,ERROR,Итог меньше рассчитанного.
MUT_0003_TOT001,TOT001,ERROR,Сумма не совпадает с суммой строк.
MUT_0003_ID001,ID001,ERROR,БИН поставщика имеет неверный формат.
MUT_0003_D001,D001,ERROR,Дата ЭСФ не может быть в будущем.
