doc_id,check_code,expected_status,expected_message
BASE_0001,BASE,OK,Базовый корректный документ.
BASE_0002,BASE,OK,Базовый корректный документ.
BASE_0003,BASE,OK,Базовый корректный документ.
MUT_0001_D001,D001,ERROR,Дата ЭСФ не может быть в будущем.
MUT_0001_ID002,ID002,ERROR,БИН покупателя имеет неверный формат.
MUT_0001_BIN002,BIN002,ERROR,БИН покупателя отсутствует.
MUT_0001_TOT004,TOT004,WARNING,Расхождение по округлению.
MUT_0001_BIN001,BIN001,ERROR,БИН поставщика отсутствует.
MUT_0001_BIN005,BIN005,ERROR,БИН покупателя имеет неверную длину.
MUT_0001_TOT003,TOT003,WARNING,Сумма равна нулю.
MUT_0001_ID001,ID001,ERROR,БИН поставщика имеет неверный формат.
MUT_0002_TOT003,TOT003,WARNING,Сумма равна нулю.
MUT_0002_BIN007,BIN007,ERROR,БИНы продавца и покупателя совпадают.
MUT_0002_D004,D004,ERROR,Дата указана не в формате ГГГГ-ММ-ДД.
MUT_0002_D001,D001,ERROR,Дата ЭСФ не может быть в будущем.
MUT_0002_NEG001,NEG001,ERROR,Строки содержат отрицательные суммы.
MUT_0002_D000,D000,ERROR,Дата выставления отсутствует.
MUT_0002_BIN002,BIN002,ERROR,БИН покупателя отсутствует.
MUT_0002_ID001,ID001,ERROR,БИН поставщика имеет неверный формат.
MUT_0003_ID001,ID001,ERROR,БИН поставщика имеет неверный формат.
MUT_0003_ID002,ID002,ERROR,БИН покупателя имеет неверный формат.
MUT_0003_BIN007,BIN007,ERROR,БИНы продавца и покупателя совпадают.
MUT_0003_AMT001,AMT001,ERROR,Итоговая сумма имеет нечисловой формат.
MUT_0003_NEG001,NEG001,ERROR,Строки содержат отрицательные суммы.
MUT_0003_D002,D002,ERROR,Дата имеет некорректный формат.
MUT_0003_TOT004,TOT004,WARNING,Расхождение по округлению.
MUT_0003_BIN004,BIN004,ERROR,БИН покупателя содержит недопустимые символы.
